VehicleTypeId,Description,Year,Month,Count,Amount
2,MOTOR CYCLE                                  ,2013,12,5742,6288450
3,AUTO RICKSHAW,2013,12,84,212024
4,PRIVATE MOTOR CAR/JEEP CAR,2013,12,1273,21151276
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2013,12,8,191877
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,12,151,1214261
12,TRAILER UPTO 2 TON,2013,12,1,1380
17,EXCAVATOR,2013,12,1,40220
19,LOADER                                       ,2013,12,10,509570
21,TEMPO,2013,12,140,425874
1,MOPED/SCOOTER                                ,2014,1,3209,3172365
2,MOTOR CYCLE                                  ,2014,1,5247,5670150
3,AUTO RICKSHAW,2014,1,105,269161
4,PRIVATE MOTOR CAR/JEEP CAR,2014,1,1371,21900190
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2014,1,1,8011
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,1,1,7967
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,1,93,717392
9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2014,1,1,23636
19,LOADER                                       ,2014,1,3,152871
21,TEMPO,2014,1,200,592482
1,MOPED/SCOOTER                                ,2014,2,3697,3663264
2,MOTOR CYCLE                                  ,2014,2,5994,6514291
3,AUTO RICKSHAW,2014,2,129,332150
4,PRIVATE MOTOR CAR/JEEP CAR,2014,2,1524,24433270
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2014,2,2,21389
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2014,2,2,10772
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,2,10,109000
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,2,109,840472
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,2,26,849342
21,TEMPO,2014,2,200,595982
1,MOPED/SCOOTER                                ,2014,3,4377,4337693
2,MOTOR CYCLE                                  ,2014,3,5838,6497915
3,AUTO RICKSHAW,2014,3,94,246799
4,PRIVATE MOTOR CAR/JEEP CAR,2014,3,1493,22295910
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2014,3,1,14889
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2014,3,1,13862
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,3,10,199397
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,3,151,1289385
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2014,3,1,22101
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,3,8,210115
19,LOADER                                       ,2014,3,1,43722
21,TEMPO,2014,3,211,617351
1,MOPED/SCOOTER                                ,2014,4,4893,4741630
2,MOTOR CYCLE                                  ,2014,4,6358,7185690
3,AUTO RICKSHAW,2014,4,140,370652
4,PRIVATE MOTOR CAR/JEEP CAR,2014,4,1789,30226586
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2014,4,1,14247
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,4,15,405042
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,4,87,713591
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,4,14,269240
13,TRAILER 2 TO 4 TON,2014,4,1,3176
16,TRAILER MORE THAN 12 TON,2014,4,1,12244
18,CRANE,2014,4,1,28420
21,TEMPO,2014,4,205,614997
1,MOPED/SCOOTER                                ,2014,5,4372,4289735
2,MOTOR CYCLE                                  ,2014,5,6019,6725939
3,AUTO RICKSHAW,2014,5,123,324502
4,PRIVATE MOTOR CAR/JEEP CAR,2014,5,2035,31575848
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2014,5,3,88862
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2014,5,68,630960
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2014,5,1,19980
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2014,5,9,263205
19,LOADER                                       ,2014,5,1,49620
21,TEMPO,2014,5,156,455663
1,MOPED/SCOOTER                                ,2014,6,4822,4668581
2,MOTOR CYCLE                                  ,2014,6,6154,6688754
3,AUTO RICKSHAW,2014,6,119,318398
4,PRIVATE MOTOR CAR/JEEP CAR,2014,6,1852,27358361
